CMDLINE c:\programdata\anaconda3\envs\py36\python.exe crs_squares.py
MEM 0.632812 1552686075.6655
MEM 11.187500 1552686075.7733
MEM 16.121094 1552686075.8810
MEM 19.339844 1552686075.9897
MEM 23.527344 1552686076.0994
MEM 26.039062 1552686076.2071
MEM 26.097656 1552686076.3148
MEM 29.570312 1552686076.4235
MEM 36.125000 1552686076.5332
MEM 42.011719 1552686076.6419
MEM 49.187500 1552686076.7526
MEM 54.667969 1552686076.8613
MEM 59.183594 1552686076.9720
MEM 62.953125 1552686077.0857
MEM 64.156250 1552686077.1974
MEM 65.234375 1552686077.3071
MEM 65.312500 1552686077.4179
MEM 65.312500 1552686077.5266
MEM 66.320312 1552686077.6343
MEM 67.117188 1552686077.7430
MEM 67.265625 1552686077.8497
MEM 70.933594 1552686077.9634
MEM 72.367188 1552686078.0791
MEM 75.914062 1552686078.2037
MEM 76.882812 1552686078.3354
MEM 76.937500 1552686078.4571
MEM 76.992188 1552686078.5837
MEM 77.035156 1552686078.6994
MEM 77.070312 1552686078.8071
MEM 77.285156 1552686078.9178
MEM 77.601562 1552686079.0265
MEM 77.753906 1552686079.1353
MEM 77.753906 1552686079.2460
MEM 77.753906 1552686079.3567
MEM 77.753906 1552686079.4654
MEM 77.753906 1552686079.5771
MEM 77.753906 1552686079.6868
MEM 77.753906 1552686079.7985
MEM 77.753906 1552686079.9062
MEM 77.753906 1552686080.0169
MEM 77.753906 1552686080.1256
MEM 77.753906 1552686080.2353
MEM 77.753906 1552686080.3450
MEM 77.753906 1552686080.4587
MEM 77.753906 1552686080.5704
MEM 77.753906 1552686080.6811
MEM 77.753906 1552686080.7918
MEM 77.753906 1552686080.8995
MEM 77.753906 1552686081.0092
MEM 77.753906 1552686081.1180
MEM 77.753906 1552686081.2257
MEM 77.753906 1552686081.3344
MEM 77.753906 1552686081.4421
MEM 77.761719 1552686081.5508
MEM 77.761719 1552686081.6615
MEM 77.761719 1552686081.7722
MEM 77.773438 1552686081.8829
MEM 77.777344 1552686081.9906
